Rank,Bank name,Market cap (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion,MC_PKR_Billion
1,JPMorgan Chase,432.92,346.34,419.93,37231.12,120351.76
2,Bank of America,231.52,185.22,224.57,19910.72,64362.56
3,Industrial and Commercial Bank of China,194.56,155.65,188.72,16732.16,54087.68
4,Agricultural Bank of China,160.68,128.54,155.86,13818.48,44669.04
5,HDFC Bank,157.91,126.33,153.17,13580.26,43898.98
6,Wells Fargo,155.87,124.7,151.19,13404.82,43331.86
7,HSBC Holdings PLC,148.9,119.12,144.43,12805.4,41394.2
8,Morgan Stanley,140.83,112.66,136.61,12111.38,39150.74
9,China Construction Bank,139.82,111.86,135.63,12024.52,38869.96
10,Bank of China,136.81,109.45,132.71,11765.66,38033.18
